T24,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
12,Algeria,2015,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
12,Algeria,2016,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
12,Algeria,2017,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
12,Algeria,2018,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),"1,956",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),"2,818",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2005,Emissions (thousand metric tons of carbon dioxide),"6,147",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2010,Emissions (thousand metric tons of carbon dioxide),"15,152",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2015,Emissions (thousand metric tons of carbon dioxide),"21,532",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2016,Emissions (thousand metric tons of carbon dioxide),"21,458",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2017,Emissions (thousand metric tons of carbon dioxide),"18,876",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2018,Emissions (thousand metric tons of carbon dioxide),"18,802",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,1975,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,1985,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2005,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2010,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2015,Emissions per capita (metric tons of carbon dioxide),0.8,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2016,Emissions per capita (metric tons of carbon dioxide),0.7,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2017,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
24,Angola,2018,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,1975,Emissions (thousand metric tons of carbon dioxide),"84,509",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,1985,Emissions (thousand metric tons of carbon dioxide),"87,107",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2005,Emissions (thousand metric tons of carbon dioxide),"141,832",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2010,Emissions (thousand metric tons of carbon dioxide),"162,436",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2015,Emissions (thousand metric tons of carbon dioxide),"179,586",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2016,Emissions (thousand metric tons of carbon dioxide),"177,995",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2017,Emissions (thousand metric tons of carbon dioxide),"173,925",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2018,Emissions (thousand metric tons of carbon dioxide),"171,160",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,1975,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,1985,Emissions per capita (metric tons of carbon dioxide),2.9,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2005,Emissions per capita (metric tons of carbon dioxide),3.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2010,Emissions per capita (metric tons of carbon dioxide),4.0,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2015,Emissions per capita (metric tons of carbon dioxide),4.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2016,Emissions per capita (metric tons of carbon dioxide),4.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2017,Emissions per capita (metric tons of carbon dioxide),3.9,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2018,Emissions per capita (metric tons of carbon dioxide),3.8,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2005,Emissions (thousand metric tons of carbon dioxide),"4,130",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2010,Emissions (thousand metric tons of carbon dioxide),"4,048",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2015,Emissions (thousand metric tons of carbon dioxide),"5,101",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2016,Emissions (thousand metric tons of carbon dioxide),"4,912",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2017,Emissions (thousand metric tons of carbon dioxide),"5,166",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2018,Emissions (thousand metric tons of carbon dioxide),"5,395",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2005,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2010,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2015,Emissions per capita (metric tons of carbon dioxide),1.7,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2016,Emissions per capita (metric tons of carbon dioxide),1.7,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2017,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2018,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,1975,Emissions (thousand metric tons of carbon dioxide),"179,467",Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,1985,Emissions (thousand metric tons of carbon dioxide),"220,128",Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2005,Emissions (thousand metric tons of carbon dioxide),"365,515",Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2010,Emissions (thousand metric tons of carbon dioxide),"383,364",Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2015,Emissions (thousand metric tons of carbon dioxide),"372,446",Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2016,Emissions (thousand metric tons of carbon dioxide),"380,576",Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2017,Emissions (thousand metric tons of carbon dioxide),"383,785",Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2018,Emissions (thousand metric tons of carbon dioxide),"382,879",Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,1975,Emissions per capita (metric tons of carbon dioxide),12.8,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,1985,Emissions per capita (metric tons of carbon dioxide),13.9,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2005,Emissions per capita (metric tons of carbon dioxide),18.1,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2010,Emissions per capita (metric tons of carbon dioxide),17.4,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2015,Emissions per capita (metric tons of carbon dioxide),15.6,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2016,Emissions per capita (metric tons of carbon dioxide),15.7,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2017,Emissions per capita (metric tons of carbon dioxide),15.6,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2018,Emissions per capita (metric tons of carbon dioxide),15.3,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,1975,Emissions (thousand metric tons of carbon dioxide),"49,489",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,1985,Emissions (thousand metric tons of carbon dioxide),"52,649",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2005,Emissions (thousand metric tons of carbon dioxide),"74,439",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2010,Emissions (thousand metric tons of carbon dioxide),"68,337",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2015,Emissions (thousand metric tons of carbon dioxide),"61,452",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2016,Emissions (thousand metric tons of carbon dioxide),"61,665",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2017,Emissions (thousand metric tons of carbon dioxide),"64,118",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2018,Emissions (thousand metric tons of carbon dioxide),"61,468",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,1975,Emissions per capita (metric tons of carbon dioxide),6.5,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,1985,Emissions per capita (metric tons of carbon dioxide),7.0,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2005,Emissions per capita (metric tons of carbon dioxide),9.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2010,Emissions per capita (metric tons of carbon dioxide),8.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2015,Emissions per capita (metric tons of carbon dioxide),7.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2016,Emissions per capita (metric tons of carbon dioxide),7.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2017,Emissions per capita (metric tons of carbon dioxide),7.3,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2018,Emissions per capita (metric tons of carbon dioxide),7.0,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2005,Emissions (thousand metric tons of carbon dioxide),"29,018",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2010,Emissions (thousand metric tons of carbon dioxide),"23,532",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2015,Emissions (thousand metric tons of carbon dioxide),"30,806",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2016,Emissions (thousand metric tons of carbon dioxide),"31,409",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2017,Emissions (thousand metric tons of carbon dioxide),"30,806",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2018,Emissions (thousand metric tons of carbon dioxide),"30,947",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2005,Emissions per capita (metric tons of carbon dioxide),3.5,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2010,Emissions per capita (metric tons of carbon dioxide),2.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2015,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2016,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2017,Emissions per capita (metric tons of carbon dioxide),3.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2018,Emissions per capita (metric tons of carbon dioxide),3.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,1975,Emissions (thousand metric tons of carbon dioxide),"5,230",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,1985,Emissions (thousand metric tons of carbon dioxide),"9,100",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2005,Emissions (thousand metric tons of carbon dioxide),"20,565",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2010,Emissions (thousand metric tons of carbon dioxide),"25,552",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2015,Emissions (thousand metric tons of carbon dioxide),"30,073",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2016,Emissions (thousand metric tons of carbon dioxide),"29,639",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2017,Emissions (thousand metric tons of carbon dioxide),"29,814",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2018,Emissions (thousand metric tons of carbon dioxide),"30,188",,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,1975,Emissions per capita (metric tons of carbon dioxide),19.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,1985,Emissions per capita (metric tons of carbon dioxide),21.7,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2005,Emissions per capita (metric tons of carbon dioxide),23.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2010,Emissions per capita (metric tons of carbon dioxide),20.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2015,Emissions per capita (metric tons of carbon dioxide),21.9,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2016,Emissions per capita (metric tons of carbon dioxide),20.8,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2017,Emissions per capita (metric tons of carbon dioxide),20.0,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2018,Emissions per capita (metric tons of carbon dioxide),19.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
50,Bangladesh,1975,Emissions (thousand metric tons of carbon dioxide),"4,410",Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
50,Bangladesh,1985,Emissions (thousand metric tons of carbon dioxide),"7,705",Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
50,Bangladesh,2005,Emissions (thousand metric tons of carbon dioxide),"31,960",Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
